10		10		10		10		10		10		10	
SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_UV1_280nm		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Cond		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Conc		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_pH		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Flow		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Fractions		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Logbook	
min	 mAU	min	 mS/cm	min	 %B	min	 	min	 ml/min	min	(Fractions)	min	(Set Marks)
  29.120	    0.377000	  27.367	    2.086000	  27.367	    0.000000	  27.367	    5.200000	  27.367	    6.430000	         	            	 477.470	 "OutletValve WasteF1 "
  29.440	    0.417000	  27.667	    2.069000	  27.667	    0.000000	  27.667	    5.200000	  27.667	    6.430000	         	            	 477.540	 "BufferValveA1 A13 "
  29.760	    0.385000	  27.967	    2.053000	  27.967	    0.000000	  27.967	    5.190000	  27.967	    6.430000	         	            	 477.540	 "Gradient      0.0 %B,    0.000 CV"
  30.080	    0.427000	  28.267	    2.041000	  28.267	    0.000000	  28.267	    5.190000	  28.267	    6.430000	         	            	 477.540	 "Flow     7.98 ml/min"
  30.400	    0.403000	  28.567	    2.029000	  28.567	    0.000000	  28.567	    5.190000	  28.567	    6.430000	         	            	 477.540	 "Strip"
  30.720	    0.455000	  28.867	    2.019000	  28.867	    0.000000	  28.867	    5.190000	  28.867	    6.430000	         	            	 490.162	 "End Block"
  31.040	    0.483000	  29.167	    2.009000	  29.167	    0.000000	  29.167	    5.190000	  29.167	    6.430000	         	            	 490.162	 "Block Sani_1_0N"
  31.360	    0.414000	  29.467	    2.001000	  29.467	    0.000000	  29.467	    5.190000	  29.467	    6.430000	         	            	 490.162	 "Base SameAsMain"
  31.680	    0.425000	  29.767	    1.992000	  29.767	    0.000000	  29.767	    5.190000	  29.767	    6.430000	         	            	 490.162	 "BufferValveA1 A14 "
  32.000	    0.475000	  30.067	    1.983000	  30.067	    0.000000	  30.067	    5.190000	  30.067	    6.430000	         	            	 490.162	 "Block DelayOp02min"
  32.320	    0.457000	  30.367	    1.975000	  30.367	    0.000000	  30.367	    5.180000	  30.367	    6.430000	         	            	 490.162	 "Base Time {min}"
  32.640	    0.399000	  30.667	    1.968000	  30.667	    0.000000	  30.667	    5.180000	  30.667	    6.430000	         	            	 490.182	 "End Block"
  32.960	    0.403000	  30.967	    1.960000	  30.967	    0.000000	  30.967	    5.180000	  30.967	    6.430000	         	            	 490.205	 "Pause 10/26/2016, 5:18:08 PM (System)"
  33.280	    0.385000	  31.267	    1.954000	  31.267	    0.000000	  31.267	    5.180000	  31.267	    6.430000	         	            	 490.205	 "PumpWashPurifier ON, OFF, OFF, OFF"
  33.600	    0.011000	  31.567	    1.949000	  31.567	    0.000000	  31.567	    5.180000	  31.567	    6.430000	         	            	 490.205	 "Continue 10/26/2016, 5:19:34 PM (System)"
  33.920	   -0.014000	  31.867	    1.944000	  31.867	    0.000000	  31.867	    5.170000	  31.867	    6.430000	         	            	 490.205	 "Block DelayOp02min"
  34.240	   -0.032000	  32.167	    1.939000	  32.167	    0.000000	  32.167	    5.170000	  32.167	    6.430000	         	            	 490.205	 "Base Time {min}"
  34.560	    0.030000	  32.467	    1.934000	  32.467	    0.000000	  32.467	    5.170000	  32.467	    6.430000	         	            	 490.225	 "End Block"
  34.880	   -0.002000	  32.767	    1.932000	  32.767	    0.000000	  32.767	    5.170000	  32.767	    6.430000	         	            	 490.225	 "1.0 N NaOH"
  35.200	    0.000000	  33.067	    1.926000	  33.067	    0.000000	  33.067	    5.170000	  33.067	    6.430000	         	            	 490.225	 "Block Sanitization_Pause_Position"
  35.520	    0.173000	  33.367	    1.924000	  33.367	    0.000000	  33.367	    5.170000	  33.367	    6.430000	         	            	 490.225	 "Base SameAsMain"
  35.840	   -0.069000	  33.667	    1.921000	  33.667	    0.000000	  33.667	    5.170000	  33.667	    6.430000	         	            	 502.835	 "End Block"
  36.160	   -0.034000	  33.967	    1.918000	  33.967	    0.000000	  33.967	    5.160000	  33.967	    6.430000	         	            	 502.835	 "Block Sanitization_Pause_Time"
  36.480	   -0.011000	  34.267	    1.916000	  34.267	    0.000000	  34.267	    5.160000	  34.267	    6.430000	         	            	 502.835	 "Base SameAsMain"
  36.800	   -0.012000	  34.567	    1.915000	  34.567	    0.000000	  34.567	    5.160000	  34.567	    6.430000	         	            	 502.835	 "Pause     30.0 10/26/2016, 5:32:12 PM"
  37.120	    0.025000	  34.867	    1.912000	  34.867	    0.000000	  34.867	    5.160000	  34.867	    6.430000	         	            	 502.835	 "Continue 10/26/2016, 6:02:12 PM (System)"
  37.440	    0.021000	  35.167	    1.909000	  35.167	    0.000000	  35.167	    5.160000	  35.167	    6.430000	         	            	 502.835	 "End Block"
  37.760	    0.039000	  35.467	    1.907000	  35.467	    0.000000	  35.467	    5.160000	  35.467	    6.430000	         	            	 502.835	 "Block Additional_Sani_Post_Pause"
  38.080	    0.123000	  35.767	    1.921000	  35.767	    0.000000	  35.767	    5.150000	  35.767	    3.150000	         	            	 502.835	 "Base SameAsMain"
  38.400	    0.022000	  36.067	    1.908000	  36.067	    0.000000	  36.067	    5.150000	  36.067	    3.150000	         	            	 509.192	 "End Block"
  38.720	   -0.012000	  36.367	    1.895000	  36.367	    0.000000	  36.367	    5.150000	  36.367	    3.150000	         	            	 509.192	 "End Block"
  39.040	    0.057000	  36.667	    1.894000	  36.667	    0.000000	  36.667	    5.150000	  36.667	    3.150000	         	            	 509.192	 "Block Flush_0_1N"
  39.360	    0.072000	  36.967	    1.894000	  36.967	    0.000000	  36.967	    5.140000	  36.967	    3.150000	         	            	 509.192	 "Base SameAsMain"
  39.680	    0.062000	  37.267	    1.895000	  37.267	    0.000000	  37.267	    5.150000	  37.267	    3.150000	         	            	 509.192	 "BufferValveA1 A15 "
  40.000	    0.121000	  37.567	    1.893000	  37.567	    0.000000	  37.567	    5.150000	  37.567	    3.150000	         	            	 509.192	 "Block DelayOp02min"
  40.320	    0.096000	  37.867	    1.893000	  37.867	    0.000000	  37.867	    5.140000	  37.867	    3.150000	         	            	 509.192	 "Base Time {min}"
  40.640	    0.078000	  38.167	    1.890000	  38.167	    0.000000	  38.167	    5.140000	  38.167	    3.150000	         	            	 509.212	 "End Block"
  40.960	    0.077000	  38.467	    1.889000	  38.467	    0.000000	  38.467	    5.140000	  38.467	    3.150000	         	            	 509.222	 "Pause 10/26/2016, 6:08:35 PM (System)"
  41.280	    0.082000	  38.767	    1.890000	  38.767	    0.000000	  38.767	    5.140000	  38.767	    3.150000	         	            	 509.222	 "PumpWashPurifier ON, OFF, OFF, OFF"
  41.600	    0.044000	  39.067	    1.890000	  39.067	    0.000000	  39.067	    5.140000	  39.067	    3.150000	         	            	 509.222	 "Continue 10/26/2016, 6:10:01 PM (System)"
  41.920	    0.057000	  39.367	    1.890000	  39.367	    0.000000	  39.367	    5.130000	  39.367	    3.150000	         	            	 509.222	 "Block DelayOp02min"
  42.240	    0.050000	  39.667	    1.889000	  39.667	    0.000000	  39.667	    5.140000	  39.667	    3.150000	         	            	 509.222	 "Base Time {min}"
  42.560	    0.046000	  39.967	    1.888000	  39.967	    0.000000	  39.967	    5.140000	  39.967	    3.150000	         	            	 509.242	 "End Block"
  42.880	    0.038000	  40.267	    1.889000	  40.267	    0.000000	  40.267	    5.140000	  40.267	    3.150000	         	            	 509.242	 "Flow     7.98 ml/min"
  43.200	    0.074000	  40.567	    1.886000	  40.567	    0.000000	  40.567	    5.140000	  40.567	    3.150000	         	            	 509.242	 "0.1N NaOH"
  43.520	    0.092000	  40.867	    1.887000	  40.867	    0.000000	  40.867	    5.130000	  40.867	    3.150000	         	            	 528.147	 "End Block"
  43.840	    0.092000	  41.167	    1.886000	  41.167	    0.000000	  41.167	    5.140000	  41.167	    3.150000	         	            	         	            
  44.160	    0.089000	  41.467	    1.886000	  41.467	    0.000000	  41.467	    5.130000	  41.467	    3.150000	         	            	         	            
